Project_name,Country,Site,Latitude,Longitude,Exposure,Reef_slope,Reef_type,Reef_zone,Year,Month,Day,Start time,Tide,Visibility,Current,Depth,Relative_depth,Management_name,Management_secondary_name,Management year established,Management size,Governance,Estimated compliance,Management_rules,Transect_number,Transect_label,Transect_length_surveyed,Observers,Benthic_category,Benthic_attribute,Growth_form,LIT_CM,Total transect cm,Site notes,Management notes,Sample unit notes
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,10,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,13,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,90,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,19,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,22,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Other invertebrates,Sponge,,14,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,105,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,43,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Massive,12,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,33,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,60,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,32,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,19,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,7,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,53,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,3,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,19,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,42,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,18,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,73,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,36,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Other invertebrates,Sponge,,3,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,108,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Other invertebrates,Sponge,,3,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,9,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,4,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,13,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,10,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,20,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,10,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,5,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,95,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,160,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,60,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,45,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,49,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,26,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,53,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,13,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,4,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,6,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,52,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,158,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Seagrass,Seagrass,,6,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,16,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Other invertebrates,Sponge,,7,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,28,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Other invertebrates,Sponge,,10,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Branching,12,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,68,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Dead coral,,17,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,320,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,116,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,27,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,64,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,26,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,57,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,231,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,67,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,16,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,8,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,149,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,17,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,17,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,24,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Seagrass,Seagrass,,4,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,20,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,120,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,13,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Encrusting,21,5000,,,
2017_Coastal Resource Monitoring,Philippines,Banawa Pt.,10.51656389,119.74,semi-exposed,flat,lagoon,back reef,2017,9,7,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"John Martin Caligdong, Jesus Bream",Hard coral,Hard coral,Mushroom coral,12,5000,,,
2017_Coastal Resource Monitoring,Philippines,Banawa Pt.,10.51656389,119.74,semi-exposed,flat,lagoon,back reef,2017,9,7,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"John Martin Caligdong, Jesus Bream",Hard coral,Hard coral,Branching,20,5000,,,
